2025-06-07 07:43:07 status half-installed e2fsprogs:arm64 1.47.0-2
2025-06-07 07:43:07 status unpacked e2fsprogs:arm64 1.47.0-2
2025-06-07 07:43:07 install findutils:arm64 <none> 4.9.0-4
2025-06-07 07:43:07 status half-installed findutils:arm64 4.9.0-4
2025-06-07 07:43:07 status unpacked findutils:arm64 4.9.0-4
2025-06-07 07:43:08 install gcc-12-base:arm64 <none> 12.2.0-14+deb12u1
2025-06-07 07:43:08 status half-installed gcc-12-base:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:08 status unpacked gcc-12-base:arm64 12.2.0-14+deb12u1
2025-06-07 07:43:08 install gpgv:arm64 <none> 2.2.40-1.1
2025-06-07 07:43:08 status half-installed gpgv:arm64 2.2.40-1.1
2025-06-07 07:43:08 status unpacked gpgv:arm64 2.2.40-1.1
2025-06-07 07:43:08 install grep:arm64 <none> 3.8-5
2025-06-07 07:43:08 status half-installed grep:arm64 3.8-5
2025-06-07 07:43:08 status unpacked grep:arm64 3.8-5
2025-06-07 07:43:08 install gzip:arm64 <none> 1.12-1
2025-06-07 07:43:08 status half-installed gzip:arm64 1.12-1
2025-06-07 07:43:08 status unpacked gzip:arm64 1.12-1
2025-06-07 07:43:09 install hostname:arm64 <none> 3.23+nmu1
2025-06-07 07:43:09 status half-installed hostname:arm64 3.23+nmu1
2025-06-07 07:43:09 status unpacked hostname:arm64 3.23+nmu1
2025-06-07 07:43:09 install init-system-helpers:all <none> 1.65.2
2025-06-07 07:43:09 status half-installed init-system-helpers:all 1.65.2
2025-06-07 07:43:09 status unpacked init-system-helpers:all 1.65.2
2025-06-07 07:43:09 install libacl1:arm64 <none> 2.3.1-3
2025-06-07 07:43:09 status half-installed libacl1:arm64 2.3.1-3
2025-06-07 07:43:09 status unpacked libacl1:arm64 2.3.1-3
2025-06-07 07:43:09 install libapt-pkg6.0:arm64 <none> 2.6.1
2025-06-07 07:43:09 status half-installed libapt-pkg6.0:arm64 2.6.1
2025-06-07 07:43:09 status unpacked libapt-pkg6.0:arm64 2.6.1
2025-06-07 07:43:10 install libattr1:arm64 <none> 1:2.5.1-4
2025-06-07 07:43:10 status half-installed libattr1:arm64 1:2.5.1-4
2025-06-07 07:43:10 status unpacked libattr1:arm64 1:2.5.1-4
2025-06-07 07:43:10 install libaudit-common:all <none> 1:3.0.9-1
2025-06-07 07:43:10 status half-installed libaudit-common:all 1:3.0.9-1
2025-06-07 07:43:10 status unpacked libaudit-common:all 1:3.0.9-1
2025-06-07 07:43:10 install libaudit1:arm64 <none> 1:3.0.9-1
2025-06-07 07:43:10 status half-installed libaudit1:arm64 1:3.0.9-1
2025-06-07 07:43:10 status unpacked libaudit1:arm64 1:3.0.9-1
2025-06-07 07:43:10 install libblkid1:arm64 <none> 2.38.1-5+deb12u3
2025-06-07 07:43:10 status half-installed libblkid1:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:10 status unpacked libblkid1:arm64 2.38.1-5+deb12u3
2025-06-07 07:43:10 install libbz2-1.0:arm64 <none> 1.0.8-5+b1
2025-06-07 07:43:10 status half-installed libbz2-1.0:arm64 1.0.8-5+b1
2025-06-07 07:43:10 status unpacked libbz2-1.0:arm64 1.0.8-5+b1
2025-06-07 07:43:11 install libc-bin:arm64 <none> 2.36-9+deb12u10
2025-06-07 07:43:11 status half-installed libc-bin:arm64 2.36-9+deb12u10
